,study,es,var,n,low,high,label
Pollatos2004,Pollatos et al. 2004,0.29,0.02,45.0,0.03,0.54,0.29 [0.03-0.54]
Baranauskas2017 (DV-1),Baranauskas et al. 2017 (DV-1),0.08,0.04,31.0,-0.24,0.4,0.08 [-0.24-0.4]
Baranauskas2017 (DV-2),Baranauskas et al. 2017 (DV-2),0.12,0.04,31.0,-0.2,0.44,0.12 [-0.2-0.44]
Katkin1991,Katkin et al. 1991,0.12,0.11,13.0,-0.43,0.67,0.12 [-0.43-0.67]
Mai2018 (DV-1),Mai et al. 2018 (DV-1),0.54,0.02,47.0,0.29,0.79,0.54 [0.29-0.79]
Mai2018 (DV-2),Mai et al. 2018 (DV-2),0.0,0.02,47.0,-0.25,0.25,0.0 [-0.25-0.25]
Marshall2017exp1,Marshall et al. 2017 (Exp. 1),-0.18,0.05,26.0,-0.53,0.17,-0.18 [-0.53-0.17]
Marshall2017exp2,Marshall et al. 2017 (Exp. 2),-0.09,0.05,25.0,-0.45,0.27,-0.09 [-0.45-0.27]
Marshall2018exp1,Marshall et al. 2018 (Exp. 1),-0.17,0.05,26.0,-0.52,0.18,-0.17 [-0.52-0.18]
Marshall2018exp2,Marshall et al. 2018 (Exp. 2),-0.12,0.05,26.0,-0.47,0.23,-0.12 [-0.47-0.23]
Schulz2015b (DV-1),Schulz et al. 2015b (DV-1),0.15,0.02,48.0,-0.1,0.4,0.15 [-0.1-0.4]
Schulz2015b (DV-2),Schulz et al. 2015b (DV-2),0.01,0.02,48.0,-0.24,0.25,0.01 [-0.24-0.25]
Terhaar2012,Terhaar et al. 2012,0.22,0.04,31.0,-0.09,0.54,0.22 [-0.09-0.54]
Pollatos2017,Pollatos et al. 2017,0.08,0.08,16.0,-0.39,0.55,0.08 [-0.39-0.55]
